Language,Code Value,lat_str,lon_str,genus,family,countrycodes
Fiote,kng,-5.5,14,Bantoid,Niger-Congo,CD
Fijian (Wayan),wyy,-17,177.3,Oceanic,Austronesian,FJ
Ful (Liptako),fuh,13.5,0.5,Northern Atlantic,Niger-Congo,BF
Fula (Mauritanian),fuc,16.5,-13.75,Northern Atlantic,Niger-Congo,MR
Fula (Nigerian),fuv,8.166666667,10.5,Northern Atlantic,Niger-Congo,NG
Frisian (North),frr,54.5,9,Germanic,Indo-European,DE
Foe,foi,-6.5,143.5,Kutubuan,Trans-New Guinea,PG
Fongbe,fon,6.416666667,2.166666667,Kwa,Niger-Congo,BJ
Fore,for,-6.75,145.5,Eastern Highlands,Trans-New Guinea,PG
Fox,sac,43,-83,Algonquian,Algic,US
Momu,fqs,-3,141.5833333,Fas,Kwomtari-Baibai,PG
Fordata,frd,-6.75,131.5,Central Malayo-Polynesian,Austronesian,ID
French,fra,48,2,Romance,Indo-European,FR CH
Frisian,frs,53,5,Germanic,Indo-European,NL DE
Frisian (Western),fry,53,6,Germanic,Indo-European,NL
Finnish Sign Language,fse,62,26,Sign Languages,other,FI
Fula (Cameroonian),fub,9.166666667,13.5,Northern Atlantic,Niger-Congo,CM
Futuna (East),fud,-14.33333333,-178.1666667,Oceanic,Austronesian,WF
Fulniô,fun,-8,-37.5,Yatê,Yatê,BR
Fulfulde (Maasina),ffm,15,-5,Northern Atlantic,Niger-Congo,ML
Fur,fvr,13.5,25,Fur,Fur,SD
Fula (Senegal),fuc,15,-14,Northern Atlantic,Niger-Congo,SN
Futuna-Aniwa,fut,-19.53333333,170.2166667,Oceanic,Austronesian,VU
Fuzhou,cdo,26,119.5,Chinese,Sino-Tibetan,MY TH CN
Fyem,pym,9.583333333,9.333333333,Platoid,Niger-Congo,NG
Gã,gaa,5.666666667,-0.166666667,Kwa,Niger-Congo,GH
Gaagudju,gbu,-12.58333333,132.8333333,Gaagudju,Gaagudju,AU
Gade,ged,8.666666667,7.416666667,Nupoid,Niger-Congo,NG
Gaelic (Scots),gla,57,-4,Celtic,Indo-European,GB
Gagauz,gag,46.33333333,28.66666667,Turkic,Altaic,MD
Gahuku,gah,-6,145.4166667,Eastern Highlands,Trans-New Guinea,PG
Galo,adi,28.16666667,94.66666667,Tani,Sino-Tibetan,IN
Gamo,gmv,6.666666667,37.25,North Omotic,Afro-Asiatic,ET
Great Andamanese,apq,12,92.66666667,Great Andamanese,Great Andamanese,IN
Gapapaiwa,pwg,-9.75,149.8333333,Oceanic,Austronesian,PG
Garo,grt,25.66666667,90.5,Bodo-Garo,Sino-Tibetan,IN
German (Upper Austrian),bar,47,14,Germanic,Indo-European,AT
Gavião,gvo,-10.66666667,-62,Monde,Tupian,BR
Gayo,gay,4.5,97.5,Northwest Sumatra-Barrier Islands,Austronesian,ID
German (Bavarian),bar,49,11.5,Germanic,Indo-European,AT DE
Gbeya Bossangoa,gbp,6.666666667,17.5,Gbaya-Manza-Ngbaka,Niger-Congo,CF
Guinea Bissau Crioulo,pov,12,-15,Creoles and Pidgins,other,GW
German (Bern),gsw,47,7.416666667,Germanic,Indo-European,CH
Gbaya Kara,gya,6,15,Gbaya-Manza-Ngbaka,Niger-Congo,CM CF
German (Berlin),deu,52.5,13.33333333,Germanic,Indo-European,DE
Greek (Cypriot),ell,34.75,33,Greek,Indo-European,CY
Gutob,gbj,19,83.66666667,Munda,Austro-Asiatic,IN
Guduf,gdf,11.23333333,13.8,Biu-Mandara,Afro-Asiatic,CM NG
Godié,god,5.416666667,-5.833333333,Kru,Niger-Congo,CI
Gadaba (Kondekor),gdb,18.75,83.5,Central Dravidian,Dravidian,IN
Guadeloupe Creole,gcf,16.25,-61.5,Creoles and Pidgins,other,GP
Gidar,gid,10,14,Biu-Mandara,Afro-Asiatic,CM
Gadsup,gaj,-6.25,146,Eastern Highlands,Trans-New Guinea,PG
Gela,nlg,-9.083333333,160.25,Oceanic,Austronesian,SB
Georgian,kat,42,44,Kartvelian,Kartvelian,GE
German,deu,52,10,Germanic,Indo-European,AT DE CH
Guianese French Creole,gcr,5,-53,Creoles and Pidgins,other,GF
Gugadj,ggd,-18.5,140.5,Northern Pama-Nyungan,Pama-Nyungan,AU
Gureng Gureng,gnr,-25.25,151,Southeastern Pama-Nyungan,Pama-Nyungan,AU
German (Hannover),deu,52.41666667,9.666666667,Germanic,Indo-European,DE
Guahibo,guh,5,-69,Guahiban,Guahiban,CO
Ghotuo,aaa,7.083333333,5.75,Edoid,Niger-Congo,NG
Bunan,bfu,32.5,77,Bodic,Sino-Tibetan,IN
Gidabal,bdy,-28.41666667,152.4166667,Southeastern Pama-Nyungan,Pama-Nyungan,AU
Gilaki,glk,37.33333333,50,Iranian,Indo-European,IR
Gimira,bcq,7,35.75,North Omotic,Afro-Asiatic,ET
Gula Iro,glj,10.25,19.41666667,Adamawa,Niger-Congo,TD
Gitksan,git,55.33333333,-127.75,Tsimshianic,Penutian,CA
Giziga,gis,10.33333333,14.16666667,Biu-Mandara,Afro-Asiatic,CM
Gurindji,gue,-17.66666667,130.6666667,Western Pama-Nyungan,Pama-Nyungan,AU
Guajajara,gub,-5,-46,Tupi-Guaraní,Tupian,BR
Gününa Küne,pue,-41,-67,Puelche,Chon,AR
Gelao,gqu,22.91666667,105.5,Kadai,Tai-Kadai,VN
Galician,glg,43,-8,Romance,Indo-European,ES
Galela,gbi,2.416666667,128.3333333,North Halmaheran,West Papuan,ID
Golin,gvf,-6.333333333,144.75,Chimbu,Trans-New Guinea,PG
Gaalpu,dhg,-12.66666667,136.75,Western Pama-Nyungan,Pama-Nyungan,AU
German (Mansfeldisch),deu,51.58333333,11.5,Germanic,Indo-European,DE
Guambiano,gum,2.5,-76.66666667,Barbacoan,Barbacoan,CO
Gamilaraay,kld,-29.83333333,149.5,Southeastern Pama-Nyungan,Pama-Nyungan,AU
Gumatj,gnn,-12.5,135.5,Western Pama-Nyungan,Pama-Nyungan,AU
Gumawana,gvs,-9.25,150.8333333,Oceanic,Austronesian,PG
Gumuz,guk,12.5,35.83333333,Gumuz,Gumuz,SD ET
Guana,gva,-22,-58,Mascoian,Mascoian,PY
Gunbalang,wlg,-12,134,Gunwinygic,Gunwinyguan,AU
Ga'anda,gqa,10.33333333,12.58333333,Biu-Mandara,Afro-Asiatic,NG
Gunin,gww,-14.25,126.6666667,Worrorran,Worrorran,AU
Guanano,gvc,0.833333333,-69.5,Tucanoan,Tucanoan,CO BR
Gunya,gyy,-26.5,146.5,Northern Pama-Nyungan,Pama-Nyungan,AU
Goajiro,guc,12,-72,Caribbean Arawakan,Arawakan,VR CO
Godoberi,gdo,42.66666667,46.08333333,Avar-Andic-Tsezic,Nakh-Daghestanian,RU
Goemai,ank,8.666666667,9.75,West Chadic,Afro-Asiatic,NG
Gogodala,ggw,-8.083333333,142.8333333,Gogodala,Gogodala-Suki,PG
Gojri,gju,32.75,76.25,Indic,Indo-European,IN
Gokana,gkn,4.583333333,7.333333333,Cross River,Niger-Congo,NG
Gola,gol,7.25,-10.83333333,Mel,Niger-Congo,LR SL
Gondi,ggo,19,81,South-Central Dravidian,Dravidian,IN
Gooniyandi,gni,-18.33333333,126.3333333,Bunuban,Bunuban,AU
Gorowa,gow,-4.5,36.5,Southern Cushitic,Afro-Asiatic,TZ
German (Ostschweiz),gsw,47.41666667,9.25,Germanic,Indo-European,CH
German (Appenzell),gsw,47.33333333,9.333333333,Germanic,Indo-European,CH
Grebo,grj,5,-8,Kru,Niger-Congo,LR
Greenlandic (East),kal,65,-40,Eskimo,Eskimo-Aleut,GL
Garífuna,cab,15.66666667,-88,Caribbean Arawakan,Arawakan,BZ HN GT
Gurr-goni,gge,-12.25,134.4166667,Burarran,Mangrida,AU
Guarijío,var,27.75,-108.6666667,Tarahumaran,Uto-Aztecan,MX
Greek (Modern),ell,39,22,Greek,Indo-European,GR
Gurma,gux,12.25,1,Gur,Niger-Congo,BF
Gurenne,gur,10.83333333,-0.916666667,Gur,Niger-Congo,GH
Guro,goa,7,-6,Eastern Mande,Mande,CI
German (Ripuarian),ksh,51,7,Germanic,Indo-European,BE
Garrwa,wrk,-17.08333333,137.1666667,Garrwan,Garrwan,AU
Garus,gyb,-4.95,145.6666667,Madang,Trans-New Guinea,PG
Gorontalo,gor,0.5,122,Greater Central Philippine,Austronesian,ID
Greenlandic (West),kal,64,-51,Eskimo,Eskimo-Aleut,GL
Greek Sign Language,gss,38.5,22,Sign Languages,other,GR
Greenlandic (South),kal,60,-44,Eskimo,Eskimo-Aleut,GL
German (Thurgau),gsw,47.58333333,9.166666667,Germanic,Indo-European,CH
German (Thuringian),deu,51,11,Germanic,Indo-European,DE
German (Timisoara),deu,45.75,21.25,Germanic,Indo-European,RO
Guató,gta,-17,-58,Guató,Guató,BR
Guaraní,gug,-26,-56,Tupi-Guaraní,Tupian,PY
Gude,gde,10.41666667,13.41666667,Biu-Mandara,Afro-Asiatic,CM NG
Guere,gxx,6.666666667,-7.75,Kru,Niger-Congo,CI
Gupapuyngu,guf,-12,136,Western Pama-Nyungan,Pama-Nyungan,AU
Gugada,ktd,-30,134,Western Pama-Nyungan,Pama-Nyungan,AU
Guhu-Samane,ghs,-8,147.3333333,Binanderean,Trans-New Guinea,PG
Gujarati,guj,23,72,Indic,Indo-European,IN
Gula (in Central African Republic),glu,9.5,22.5,Bongo-Bagirmi,Central Sudanic,CF
Gumbaynggir,kgs,-30.16666667,152.5,Southeastern Pama-Nyungan,Pama-Nyungan,AU
Gunu,yas,4.583333333,11.25,Bantoid,Niger-Congo,CM
Guaque,cbd,1,-72.08333333,Cariban,Cariban,CO
Gurung,gvr,28.33333333,84.33333333,Bodic,Sino-Tibetan,NP
Gusii,guz,-0.75,34.83333333,Bantoid,Niger-Congo,KE
Gurma (Togo),gux,10.75,0.666666667,Gur,Niger-Congo,BF
Guugu Yimidhirr,kky,-15,144.8333333,Northern Pama-Nyungan,Pama-Nyungan,AU
Gungbe,guw,6.5,2.5,Kwa,Niger-Congo,BJ
German (Viennese),bar,48.16666667,16.33333333,Germanic,Indo-European,AT
Gwari,gbr,9.5,7,Nupoid,Niger-Congo,NG
German (Westphalian),wep,52,7.5,Germanic,Indo-European,DE
Gworok,kcg,9.916666667,8.166666667,Platoid,Niger-Congo,NG
Guayabero,guo,2.833333333,-72,Guahiban,Guahiban,CO
Gyarong (Cogtse),jya,31.5,102,rGyalrong,Sino-Tibetan,CN
German (Zurich),gsw,47.41666667,8.5,Germanic,Indo-European,CH
Hadza,hts,-3.75,35.16666667,Hadza,Hadza,TZ
Haida,hdn,53,-132,Haida,Haida,US CA
Hakka,hak,25,116,Chinese,Sino-Tibetan,CN
Halia,hla,-5.25,154.6666667,Oceanic,Austronesian,PG
Hamtai,hmt,-7.5,146.25,Angan,Trans-New Guinea,PG
Hani,hni,23,103,Burmese-Lolo,Sino-Tibetan,CN
Haruai,tmd,-5.083333333,144.1666667,Piawi,Piawi,PG
Hatam,had,-1,134,Hatam,West Papuan,ID
Hausa,hau,12,7,West Chadic,Afro-Asiatic,NG NE
Havasupai,yuf,35.75,-112.5,Yuman,Hokan,US
Hawaiian,haw,19.58333333,-155.5,Oceanic,Austronesian,US
Hayu,vay,27.25,86,Mahakiranti,Sino-Tibetan,NP
Hebrew (Modern Ashkenazic),heb,31.75,35.16666667,Semitic,Afro-Asiatic,IL
Haitian Creole,hat,19,-72.5,Creoles and Pidgins,other,HT
Hdi,xed,11.86666667,13.71666667,Biu-Mandara,Afro-Asiatic,CM NG
Hebrew (Modern),heb,31.5,34.83333333,Semitic,Afro-Asiatic,IL
Hehe,heh,-8,36,Bantoid,Niger-Congo,TZ
Heiltsuk,hei,52,-127.5,Northern Wakashan,Wakashan,CA
Hemba,hem,-6.25,27.16666667,Bantoid,Niger-Congo,CD
Herero,her,-20.58333333,19,Bantoid,Niger-Congo,BW NA
Hanga Hundi,wos,-3.833333333,142.9166667,Middle Sepik,Sepik,PG
Hianacoto,cbd,0.833333333,-71,Cariban,Cariban,CO
Hidatsa,hid,47,-102.5,Core Siouan,Siouan,US
Hiligaynon,hil,10.25,123,Greater Central Philippine,Austronesian,PH
Hindi,hin,25,77,Indic,Indo-European,IN
Hixkaryana,hix,-1,-59,Cariban,Cariban,BR
Hong Kong Sign Language,,22.5,114,Sign Languages,other,CN
Halbi,hlb,21,81,Indic,Indo-European,IN
Halkomelem (Island),hur,49.2,-123,Central Salish,Salishan,CA
Halang,hal,14.5,107.5,Bahnaric,Austro-Asiatic,VN
Hualapai,yuf,35.5,-113.75,Yuman,Hokan,US
Halkomelem (Upriver),hur,49.25,-121.9166667,Central Salish,Salishan,CA
Hmar,hmr,24.16666667,93,Kuki-Chin,Sino-Tibetan,IN
Huambisa,hub,-4,-78,Jivaroan,Jivaroan,PE
Hmong Daw,mww,26,105,Hmong-Mien,Hmong-Mien,VN CN
Huitoto (Minica),hto,-0.333333333,-74,Huitoto,Huitotoan,CO
Hmong Njua,cqd,28,105,Hmong-Mien,Hmong-Mien,CN
Hamer,amf,5,36.5,South Omotic,Afro-Asiatic,ET
Huitoto (Muinane),hux,-2.416666667,-71,Huitoto,Huitotoan,PE
Mina,hna,10.33333333,13.83333333,Biu-Mandara,Afro-Asiatic,CM
Hunde,hke,-1.166666667,28.83333333,Bantoid,Niger-Congo,CD
Hinuq,gin,42.16666667,46,Avar-Andic-Tsezic,Nakh-Daghestanian,RU
Hanunóo,hnn,12.33333333,121.25,Greater Central Philippine,Austronesian,PH
Haida (Northern),hdn,54,-132.5,Haida,Haida,CA
Ho,hoc,22,86,Munda,Austro-Asiatic,IN
Hoava,hoa,-8.083333333,157.5,Oceanic,Austronesian,SB
Hokkien,nan,25,118,Chinese,Sino-Tibetan,CN
Holoholo,hoo,-5.166666667,29.91666667,Bantoid,Niger-Congo,TZ
Hopi,hop,36,-110,Hopi,Uto-Aztecan,US
Hup,jup,0.166666667,-69.25,Nadahup,Nadahup,BR CO
Hre,hre,14.66666667,108.6666667,Bahnaric,Austro-Asiatic,VN
Harari,har,9.25,42.16666667,Semitic,Afro-Asiatic,ET
Harsusi,hss,20,56.5,Semitic,Afro-Asiatic,OM
Haisla,has,54,-128.75,Northern Wakashan,Wakashan,CA
Huastec,hus,22.08333333,-99.33333333,Mayan,Mayan,MX
Huitoto,hto,-1,-74,Huitoto,Huitotoan,CO PE
Hua,ygr,-6.333333333,145.3333333,Eastern Highlands,Trans-New Guinea,PG
=|Hoan,huc,-25.5,25,=|Hoan,Kxa,BW
Huichol,hch,22,-104,Corachol,Uto-Aztecan,MX
Huitoto (Murui),huu,-1,-73.5,Huitoto,Huitotoan,CO PE BR
Hungarian,hun,47,20,Ugric,Uralic,HU
Hupa,hup,41.08333333,-123.6666667,Athapaskan,Na-Dene,US
Huave (San Mateo del Mar),huv,16.21666667,-95,Huavean,Huavean,MX
Hawaiian Creole,hwc,21.5,-158,Creoles and Pidgins,other,US
Hawrami,hac,35.75,45.5,Iranian,Indo-European,IQ
Haya,hay,-2,31.5,Bantoid,Niger-Congo,TZ
Hyow,csh,22.08333333,92.41666667,Kuki-Chin,Sino-Tibetan,BD
Hunzib,huz,42.16666667,46.25,Avar-Andic-Tsezic,Nakh-Daghestanian,RU
Iaai,iai,-20.41666667,166.5833333,Oceanic,Austronesian,NC
Iatmul,ian,-4.25,143.25,Middle Sepik,Sepik,PG
Iau,tmu,-3.166666667,137.5,Lakes Plain,Lakes Plain,ID
Iban,iba,2,112,Malayo-Sumbawan,Austronesian,MY
Ibibio,ibb,5.25,7.833333333,Cross River,Niger-Congo,NG
Ibanag,ibg,17.5,121.6666667,Northern Luzon,Austronesian,PH
Icelandic,isl,65,-17,Germanic,Indo-European,IS
Icelandic Sign Language,icl,65,-18,Sign Languages,other,IS
Iduna,viv,-9.333333333,150.25,Oceanic,Austronesian,PG
Idoma,idu,6.916666667,7.5,Idomoid,Niger-Congo,NG
Idu,clk,29.33333333,95.83333333,Digaroan,Sino-Tibetan,IN
Italian (Fiorentino),ita,43.75,11.25,Romance,Indo-European,IT
Ifumu,ifm,-3.666666667,15.33333333,Bantoid,Niger-Congo,CG
Ifugao (Batad),ifb,16.83333333,121.0833333,Northern Luzon,Austronesian,PH
Inga,inb,1,-77,Quechuan,Quechuan,CO
Igbo,ibo,6,7.333333333,Igboid,Niger-Congo,NG
Igede,ige,7,8.166666667,Idomoid,Niger-Congo,NG
Ignaciano,ign,-15.16666667,-65.41666667,Bolivia-Parana,Arawakan,BO
Ingessana,tbi,11.5,34,Eastern Jebel,Eastern Sudanic,SD
Iha,ihp,-2.916666667,132.25,West Bomberai,West Bomberai,ID
Indonesian (Papuan),pmy,-2.5,140.6666667,Malayo-Sumbawan,Austronesian,ID
Ijo (Kolokuma),ijc,4.916666667,5.666666667,Ijoid,Ijoid,NG
Ik,ikx,3.75,34.16666667,Kuliak,Eastern Sudanic,UG
Ika,arh,10.66666667,-73.75,Arhuacic,Chibchan,CO
Ila,ilb,-15.58333333,26.5,Bantoid,Niger-Congo,ZW ZM
Illinois,mia,40,-90,Algonquian,Algic,US
Ilocano,ilo,16,121,Northern Luzon,Austronesian,PH
Imonda,imn,-3.333333333,141.1666667,Border,Border,PG
Inanwatan,szp,-2.083333333,132.0833333,South Bird's Head,Marind,ID
Indonesian,ind,0,106,Malayo-Sumbawan,Austronesian,ID
Ingush,inh,43.16666667,45.08333333,Nakh,Nakh-Daghestanian,RU
Indonesian (Jakarta),ind,-6.166666667,106.75,Malayo-Sumbawan,Austronesian,ID
Innamincka,ynd,-27.75,140.75,Central Pama-Nyungan,Pama-Nyungan,AU
Inuktitut (Rankin Inlet),ikt,63,-92,Eskimo,Eskimo-Aleut,CA
Inuktitut (Salluit),ike,62,-76,Eskimo,Eskimo-Aleut,CA
Iñupiaq,esi,67,-161,Eskimo,Eskimo-Aleut,US
Indo-Pakistani Sign Language (Indian dialects),ins,24,80,Sign Languages,other,IN
Indo-Pakistani Sign Language (Karachi dialect),pks,28,68,Sign Languages,other,PK
Inuktitut (Quebec-Labrador),ike,62,-73,Eskimo,Eskimo-Aleut,CA
Iquito,iqu,-3.25,-74,Zaparoan,Zaparoan,PE
Irish (Donegal),gle,55,-8,Celtic,Indo-European,IE
Irish,gle,53,-8,Celtic,Indo-European,IE
Irish (Munster),gle,52.5,-9,Celtic,Indo-European,IE
Iraqw,irk,-4,35.5,Southern Cushitic,Afro-Asiatic,TZ
Irarutu,irh,-3,133.5,South Halmahera - West New Guinea,Austronesian,ID
Irish Sign Language,isg,53.5,-7.5,Sign Languages,other,IE
Iranxe,irn,-13,-58,Iranxe,Iranxe,BR
I'saka,ksi,-2.833333333,141.2833333,Krisa,Skou,PG
Isekiri,its,5.666666667,5.5,Defoid,Niger-Congo,NG
Ishkashmi,isk,37,72,Iranian,Indo-European,AF TJ
Isirawa,srl,-1.833333333,138.5,Kwerba,Kwerba,ID
International Sign,,40,-170,Sign Languages,other,
Isnag,isd,18.25,121,Northern Luzon,Austronesian,PH
Isoko,iso,5.5,6.25,Edoid,Niger-Congo,NG
Israeli Sign Language,isr,32,34.83333333,Sign Languages,other,IL
Italian,ita,43,12,Romance,Indo-European,CH IT
Italian (Bologna),egl,44.5,11.33333333,Romance,Indo-European,IT
Itelmen,itl,57,157.5,Southern Chukotko-Kamchatkan,Chukotko-Kamchatkan,RU
Italian (Genoa),lij,44.41666667,8.95,Romance,Indo-European,IT
Italian (Napolitanian),nap,40.91666667,14.25,Romance,Indo-European,IT
Itonama,ito,-12.83333333,-64.33333333,Itonama,Itonama,BO
Italian (Turinese),pms,45,7.666666667,Romance,Indo-European,IT
Itawis,itv,17.75,121.5,Northern Luzon,Austronesian,PH
Itzaj,itz,17,-89.83333333,Mayan,Mayan,GT
Ivatan,ivv,20.5,122,Batanic,Austronesian,PH
Ivatan (Southern),ivv,20.33333333,121.8333333,Batanic,Austronesian,PH
Iwaidja,ibd,-11.5,132.6666667,Iwaidjan,Iwaidjan,AU
Iwam,iwm,-4.333333333,142,Upper Sepik,Sepik,PG
Ixcatec,ixc,17.83333333,-97.16666667,Popolocan,Oto-Manguean,MX
Ixil,ixl,15.5,-91,Mayan,Mayan,GT
Izhor,izh,59,29,Finnic,Uralic,RU
Izi,izz,6.333333333,8,Igboid,Niger-Congo,NG
Jabêm,jae,-6.583333333,147.7833333,Oceanic,Austronesian,PG
Jad,bod,30.83333333,79,Bodic,Sino-Tibetan,IN
Jahai,jhi,5.75,101.5,Aslian,Austro-Asiatic,MY
Jakaltek,jai,15.66666667,-91.66666667,Mayan,Mayan,GT
Jaminjung,djd,-15.08333333,130.5,Jaminjungan,Mirndi,AU
Jaqaru,jqr,-13,-76,Aymaran,Aymaran,PE
Jarawa (in Nigeria),jar,9.5,10.5,Bantoid,Niger-Congo,NG
Javanese,jav,-7,111,Javanese,Austronesian,ID
Jabutí,jbt,-12.25,-62.25,Jabutí,Jabutí,BR
Jamaican Creole,jam,18.16666667,-77.25,Creoles and Pidgins,other,JM
Jebero,jeb,-5.416666667,-76.5,Cahuapanan,Cahuapanan,PE
Jeh,jeh,15.16666667,107.8333333,Bahnaric,Austro-Asiatic,VN LA
Jeli,,9.5,-5.666666667,Western Mande,Mande,CI
Jemez,tow,35.83333333,-107,Kiowa-Tanoan,Kiowa-Tanoan,US
Jiarong,jya,31.5,102,rGyalrong,Sino-Tibetan,CN
Jibbali,shv,17.5,55,Semitic,Afro-Asiatic,OM
Jino,jiy,22,101,Burmese-Lolo,Sino-Tibetan,CN
Jivaro,jiv,-2.5,-78,Jivaroan,Jivaroan,EC
Luwo,lwo,8,28,Nilotic,Eastern Sudanic,SS
Jamamadi,jaa,-7.5,-67,Arauan,Arauan,BR
Jur Mödö,bex,6,30,Bongo-Bagirmi,Central Sudanic,SS
Jamsay,djm,14.41666667,-2.5,Dogon,Dogon,ML
Jingpho,kac,25.41666667,97,Jingpho,Sino-Tibetan,MM
Johari,,30.66666667,80,Bodic,Sino-Tibetan,IN
Jomang,tlo,10.58333333,30.5,Talodi,Kordofanian,SD
Japanese,jpn,37,140,Japanese,Japanese,JP
Japreria,jru,10.5,-73,Cariban,Cariban,VR
Juruna,jur,-5,-54.5,Tupi-Guaraní,Tupian,BR
Jarawa (in Andamans),anq,12,92.58333333,South Andamanese,South Andamanese,IN
Juat,,-31,115.5,Western Pama-Nyungan,Pama-Nyungan,AU
Jugli,nst,27.5,96.33333333,Northern Naga,Sino-Tibetan,IN
Ju|'hoan,ktz,-19,21,Ju-Kung,Kxa,NA AO BW
Jukun,jbu,6.916666667,10.41666667,Platoid,Niger-Congo,NG
Júma,jua,-7.5,-64,Tupi-Guaraní,Tupian,BR
Juang,jun,21.33333333,86,Munda,Austro-Asiatic,IN
Jurchen,juc,47,130,Tungusic,Altaic,CN
Karajá,kpj,-10,-50.33333333,Karajá,Macro-Ge,BR
Jarawara,jaa,-7.5,-65.5,Arauan,Arauan,BR
Karó (Arára),arr,-10.33333333,-62,Ramarama,Tupian,BR
Kabardian,kbd,43.5,43.5,Northwest Caucasian,Northwest Caucasian,RU
Kachari,xac,26.5,91,Bodo-Garo,Sino-Tibetan,IN
Kadugli,xtc,11,29.66666667,Kadugli,Kadu,SD
Kaki Ae,tbd,-8,145.8333333,Tate,Eleman,PG
Komering,kge,-3.166666667,104.9166667,Lampungic,Austronesian,ID
Kaian,kct,-4.083333333,144.75,Lower Ramu,Lower Sepik-Ramu,PG
Kaure,bpp,-3.416666667,140.0833333,Kaure,Kaure,ID
Kamano-Kafe,kbq,-6.25,145.6666667,Eastern Highlands,Trans-New Guinea,PG
Kalami,gwc,35.5,72.5,Indic,Indo-European,PK
Kambera,xbr,-9.833333333,120.1666667,Central Malayo-Polynesian,Austronesian,ID
Kana,ogo,4.75,7.416666667,Cross River,Niger-Congo,NG
Karao,kyj,16.5,120.8333333,Northern Luzon,Austronesian,PH
Kela (Apoze),kcl,-7.416666667,147.0833333,Oceanic,Austronesian,PG
Kaurna,,-34.25,138.5,Central Pama-Nyungan,Pama-Nyungan,AU
Kara (in Central African Republic),kah,10,23,Bongo-Bagirmi,Central Sudanic,CF
Kashmiri,kas,34,76,Indic,Indo-European,PK IN
Kâte,kmg,-6.5,147.75,Finisterre-Huon,Trans-New Guinea,PG
Kaulong,pss,-6.166666667,149.6666667,Oceanic,Austronesian,PG
Kaiwá,kgk,-23,-55,Tupi-Guaraní,Tupian,PY BR
Kayardild,gyd,-17.05,139.5,Tangkic,Tangkic,AU
Kazakh,kaz,50,70,Turkic,Altaic,KZ
Kamba,kam,-1.5,38,Bantoid,Niger-Congo,KE
Kabui,nkf,24.83333333,94,Kuki-Chin,Sino-Tibetan,IN
Kabyle,kab,36.5,5,Berber,Afro-Asiatic,DZ
Kambot,kbx,-4.25,144.1333333,Botin,Lower Sepik-Ramu,PG
Kayan (Baram),kys,3.5,114.5,North Borneo,Austronesian,MY
Kabatei,xkp,36.75,49.41666667,Iranian,Indo-European,IR
Kanembu,kbl,14,15,Western Saharan,Saharan,NG NE TD
Karen (Bwe),bwe,19.5,97,Karen,Sino-Tibetan,MM
Kabiyé,kbp,9.666666667,1.166666667,Gur,Niger-Congo,TG
Koyra Chiini,khq,17,-3,Songhay,Songhay,ML
Konda,kfc,19.5,83,South-Central Dravidian,Dravidian,IN
Karipuna do Guapore,kuq,-10,-65,Panoan,Panoan,BR
Kadiwéu,kbc,-20,-57,Kadiwéu,Guaicuruan,BR
Kadazan,kzj,5.916666667,117.1666667,North Borneo,Austronesian,MY
Kanjobal (Eastern),kjb,15.33333333,-91.66666667,Mayan,Mayan,GT
Kedang,ksx,-8.25,123.75,Central Malayo-Polynesian,Austronesian,ID
Kefa,kbr,7.25,36.25,South Omotic,Afro-Asiatic,ET
Kei,kei,-5.833333333,132.9166667,Central Malayo-Polynesian,Austronesian,ID
K'ekchí,kek,16,-89.83333333,Mayan,Mayan,GT
Kele,sbc,-2.083333333,147.0833333,Oceanic,Austronesian,PG
Kemant,ahg,12.66666667,37.41666667,Central Cushitic,Afro-Asiatic,ET
Kenga,kyq,12,18,Bongo-Bagirmi,Central Sudanic,TD
Keo,xxk,-8.833333333,121.25,Central Malayo-Polynesian,Austronesian,ID
Kera,ker,9.833333333,15.08333333,East Chadic,Afro-Asiatic,TD
Ket,ket,64,87,Yeniseian,Yeniseian,RU
Kenyah (Uma' Lung),,3,115.8333333,North Borneo,Austronesian,ID
Kewa,kjs,-6.5,143.8333333,Engan,Trans-New Guinea,PG
Kriol (Fitzroy Crossing),,-18.16666667,125.5833333,Creoles and Pidgins,other,AU
Koromfe,kfz,14.25,-0.916666667,Gur,Niger-Congo,ML BF
Kirghiz (Fu-Yu),kir,47.75,124.4166667,Turkic,Altaic,CN
Kinga,zga,-9,34,Bantoid,Niger-Congo,TZ
Konyagi,cou,12.5,-13.25,Northern Atlantic,Niger-Congo,GN ML
Umbu Ungu,ubu,-6,144,Chimbu,Trans-New Guinea,PG
Kagoma,kdm,9.25,8.166666667,Platoid,Niger-Congo,NG
Kagulu,kki,-6.333333333,37,Bantoid,Niger-Congo,TZ
Kangiryuarmiut,ikt,68.33333333,-133.75,Eskimo,Eskimo-Aleut,CA
Kalkatungu,ktg,-21,139.5,Northern Pama-Nyungan,Pama-Nyungan,AU
Kyirong,kgy,28.41666667,85.33333333,Bodic,Sino-Tibetan,CN
Kirghiz,kir,42,75,Turkic,Altaic,KG
Khalkha,khk,47,105,Mongolic,Altaic,MN
Kham (Dege),khg,31.83333333,98.58333333,Bodic,Sino-Tibetan,CN
Khaling,klr,27.5,86.66666667,Mahakiranti,Sino-Tibetan,NP IN CN
Khinalug,kjj,41.16666667,48.08333333,Lezgic,Nakh-Daghestanian,AZ
Khakas,kjh,53,90,Turkic,Altaic,RU
