Language,Code Value,lat_str,lon_str,genus,family,countrycodes
Bayungu,bxj,-23,114,Western Pama-Nyungan,Pama-Nyungan,AU
Byansi,bee,30.16666667,80.5,Bodic,Sino-Tibetan,IN
Bayso,bsw,6.25,37.75,Lowland East Cushitic,Afro-Asiatic,ET
Bandjalang (Yugumbir),bdy,-27.91666667,153,Southeastern Pama-Nyungan,Pama-Nyungan,AU
Bauzi,bvz,-2.5,137.5,East Geelvink Bay,East Geelvink Bay,ID
Cabécar,cjp,9.75,-83.41666667,Talamanca,Chibchan,CR
Cacua,cbv,1.083333333,-70,Cacua-Nukak,Cacua-Nukak,CO
Caddo,cad,33.33333333,-93.5,Caddoan,Caddoan,US
Cahuilla,chl,33.5,-116.25,California Uto-Aztecan,Uto-Aztecan,US
Chai,suq,5.333333333,35.33333333,Surmic,Eastern Sudanic,SS ET
Cakchiquel,cak,14.5,-91,Mayan,Mayan,GT
Camsá,kbh,1.166666667,-77,Camsá,Camsá,CO
Candoshi,cbu,-4.166666667,-77,Candoshi,Candoshi,PE
Capanahua,kaq,-7,-74,Panoan,Panoan,PE
Carib,car,5.5,-56,Cariban,Cariban,SR
Cashibo,cbr,-8.5,-75.5,Panoan,Panoan,PE
Catio,cto,7.166666667,-76.33333333,Choco,Choco,CO
Cavineña,cav,-13.33333333,-66.5,Tacanan,Tacanan,BO
Campa (Axininca),cpc,-12,-74,Pre-Andine Arawakan,Arawakan,PE
Cayapa,cbi,0.666666667,-79,Barbacoan,Barbacoan,EC
Chumash (Barbareño),boi,34.5,-120.25,Chumash,Chumash,US
Chácobo,cao,-12.16666667,-66.75,Panoan,Panoan,BO
Chocho,coz,17.66666667,-97.41666667,Popolocan,Oto-Manguean,MX
Chickasaw,cic,34,-88,Muskogean,Muskogean,US
Chinantec (Comaltepec),cco,17.58333333,-96.41666667,Chinantecan,Oto-Manguean,MX
Chasta Costa,,42.66666667,-124,Athapaskan,Na-Dene,US
Cocopa,coc,32.33333333,-115,Yuman,Hokan,MX US
Choctaw,cho,32.25,-88.5,Muskogean,Muskogean,US
Carib (De'kwana),mch,5.5,-65,Cariban,Cariban,VR
Cree (Swampy),csw,56,-90,Algonquian,Algic,CA
Cebuano,ceb,10,124,Greater Central Philippine,Austronesian,PH
Chicomuceltec,cob,15.5,-92.25,Mayan,Mayan,MX
Cèmuhî,cam,-20.83333333,165.1666667,Oceanic,Austronesian,NC
Chaga,old,-3,37,Bantoid,Niger-Congo,TZ
Chamorro,cha,13.45,144.75,Chamorro,Austronesian,GU
Chambri,can,-4.166666667,143.0833333,Lower Sepik,Lower Sepik-Ramu,PG
Chechen,che,43.25,45.83333333,Nakh,Nakh-Daghestanian,RU
Chaudangsi,cdn,30,80.25,Bodic,Sino-Tibetan,IN
Cherokee,chr,35.5,-83.5,Southern Iroquoian,Iroquoian,US
Chang,nbc,26.33333333,94.75,Northern Naga,Sino-Tibetan,IN MM
Chaha,sgw,8.112935,37.93267,Semitic,Afro-Asiatic,ET
Chimariko,cid,41,-123,Chimariko,Hokan,US
Chuj,cnm,15.91666667,-91.58333333,Mayan,Mayan,GT
Chukchi,ckt,67,-173,Northern Chukotko-Kamchatkan,Chukotko-Kamchatkan,RU
Chehalis (Upper),cjh,46.58333333,-123,Tsamosan,Salishan,US
Chamalal,cji,42.55,46.05,Avar-Andic-Tsezic,Nakh-Daghestanian,RU
Chantyal,chx,28.58333333,83.41666667,Bodic,Sino-Tibetan,NP
Chontal (Highland),chd,16.25,-95.75,Tequistlatecan,Tequistlatecan,MX
Chipewyan,chp,59,-106,Athapaskan,Na-Dene,CA
Chinantec (Quiotepec),chq,17.58333333,-96.66666667,Chinantecan,Oto-Manguean,MX
Chrau,crw,10.75,107.5,Bahnaric,Austro-Asiatic,VN
Chin (Siyin),csy,23.83333333,94,Kuki-Chin,Sino-Tibetan,MM
Chatino (Nopala),cya,16.08333333,-97.16666667,Zapotecan,Oto-Manguean,MX
Nivacle,cag,-23.5,-60.5,Matacoan,Matacoan,PY
Chuvash,chv,55.5,47.5,Turkic,Altaic,RU
Cham (Western),cja,12,105.5,Malayo-Sumbawan,Austronesian,KH
Chontal (Huamelultec Oaxaca),clo,16,-95.75,Tequistlatecan,Tequistlatecan,MX
Chayahuita,cbt,-5.5,-77,Cahuapanan,Cahuapanan,PE
Chaozhou,nan,23.66666667,116.6666667,Chinese,Sino-Tibetan,CN
Chichewa,nya,-14,34,Bantoid,Niger-Congo,MZ MW ZW ZM
CiLuba,lua,-6,22,Bantoid,Niger-Congo,CD
Chumash (Ineseño),inz,34.66666667,-120.25,Chumash,Chumash,US
Chichimeca-Jonaz,pei,21.66666667,-100.5,Chichimec,Oto-Manguean,MX
Cheke Holo,mrn,-8.333333333,159.6666667,Oceanic,Austronesian,SB
Chinook (Lower),chh,46.25,-123.5,Chinookan,Penutian,US
Canela-Krahô,xra,-6,-46,Ge-Kaingang,Macro-Ge,BR
Chinook (Upper),wac,45.5,-122.5,Chinookan,Penutian,US
Clallam,clm,48.08333333,-123.75,Central Salish,Salishan,US
Colac,,-38.33333333,143.5,Southeastern Pama-Nyungan,Pama-Nyungan,AU
Chaldean (Modern),cld,36,43,Semitic,Afro-Asiatic,IQ
Chinantec (Lealao),cle,17.33333333,-95.91666667,Chinantecan,Oto-Manguean,MX
Cholón,clh,-8,-77.5,Cholon,Cholon,PE
Chulym,clw,54.33333333,89.66666667,Turkic,Altaic,RU
Chimila,cbg,10,-74,Chimila,Chibchan,CO
Comecrudo,xcm,25.83333333,-99,Comecrudan,Comecrudan,MX
Cham (Eastern),cjm,11.33333333,108.5,Malayo-Sumbawan,Austronesian,VN
Chemehuevi,ute,34.33333333,-115.1666667,Numic,Uto-Aztecan,US
Chemakum,xch,48.08333333,-122.9166667,Chimakuan,Chimakuan,US
Camling,rab,27,86.66666667,Mahakiranti,Sino-Tibetan,NP
Comanche,com,33.5,-101.5,Numic,Uto-Aztecan,US
Chin (Mara),mrh,23,93.16666667,Kuki-Chin,Sino-Tibetan,MM IN
Comox,coo,50.16666667,-125,Central Salish,Salishan,CA
Chontal Maya,chf,18.16666667,-92.58333333,Mayan,Mayan,MX
Canela,ram,-7,-45,Ge-Kaingang,Macro-Ge,BR
Canamarí,knm,-6.5,-68.5,Katukinan,Katukinan,BR
Cantonese,yue,23,113,Chinese,Sino-Tibetan,CN
Coahuilteco,xcw,28,-100,Coahuiltecan,Coahuiltecan,MX
Cocama,cod,-5,-74.5,Tupi-Guaraní,Tupian,PE
Coeur d'Alene,crd,47.25,-116.5,Interior Salish,Salishan,US
Cofán,con,0.166666667,-77.16666667,Cofán,Cofán,CO EC
Cogui,kog,11,-73.83333333,Arhuacic,Chibchan,CO
Chortí,caa,14.83333333,-89.25,Mayan,Mayan,HN GT
Chol,ctu,17.75,-92.5,Mayan,Mayan,MX
Comorian,swb,-12,44,Bantoid,Niger-Congo,YT KM
Coos (Hanis),csz,43.5,-124.1666667,Coosan,Oregon Coast,US
Coptic,cop,26,32,Egyptian-Coptic,Afro-Asiatic,EG
Cora,crn,22.16666667,-104.8333333,Corachol,Uto-Aztecan,MX
Rumsien,css,36.83333333,-121.75,Costanoan,Penutian,US
Campa Pajonal Asheninca,cjo,-10.66666667,-74.25,Pre-Andine Arawakan,Arawakan,PE
Chinantec (Palantla),cpa,18.83333333,-96.75,Chinantecan,Oto-Manguean,MX
Chepang,cdm,27.66666667,84.75,Mahakiranti,Sino-Tibetan,NP
Chippewa (Red Lake and Pillager),ciw,48,-95,Algonquian,Algic,US
Chipaya,cap,-18.75,-67.83333333,Uru-Chipaya,Uru-Chipaya,BO
Chiquitano,cax,-17.5,-60,Chiquito,Chiquito,BO
Cree (Plains),crk,54,-110,Algonquian,Algic,CA
Chiriguano,gui,-23.66666667,-64.33333333,Tupi-Guaraní,Tupian,PY AR BO
Chru,cje,11.5,108.5,Malayo-Sumbawan,Austronesian,VN
Crimean Tatar,crh,45,34.08333333,Turkic,Altaic,UZ
Carijona,cbd,1,-73,Cariban,Cariban,CO
Creek,mus,34,-85,Muskogean,Muskogean,US
Carolinian,cal,15.2,145.75,Oceanic,Austronesian,MP
Cornish,cor,50.33333333,-5,Celtic,Indo-European,GB
Crow,cro,47,-108,Core Siouan,Siouan,US
Carapana,cbc,0.833333333,-70.75,Tucanoan,Tucanoan,CO BR
