Code Value,Language,Endangerment Level,Number of Speakers,Region,Latitude,Longitude
alr,Alutor,Severely Endangered ,2000,Caucasus;Europe;East Asia,61.0,165.0
avd,Alviri-Vidari,Severely Endangered ,,Near East,38.2036, 48.2519
aly,Alyawarr,Vulnerable ,1664,Australia,-22.29152242,135.9637093
amm,Ama,Vulnerable ,450,Pacific,-4.20, 141.66
amq,Amahai,Critically Endangered ,50,Southeast Asia,-3.3352, 128.9314
amc,Amahuaca,Severely Endangered ,,South America,-10.5,-72.5
aad,Amal,Endangered ,388,Pacific,-4.05, 142.00
"kzg, xug, ryn, okn, ams, tkn, yox",Amami-North Okinawan,Endangered ,,East Asia,28.3672,129.4958
amn,Amanab,Threatened ,3500,Southeast Asia;Pacific,-3.55, 141.18
ama,Amanayé,Dormant ,0,South America,-3.7327,-49.1088
aie,Amara,Endangered ,231,Pacific,-5.516550, 148.765182
aaz,Amarasi,Vulnerable ,70000,Southeast Asia,,
aew,Ambakich,Endangered ,770,Pacific,-4.20, 144.25
ael,Ambele,Vulnerable ,3600,Africa,5.868,9.765
"abt, wos",Ambulas,Vulnerable ,33000,Pacific,-3.78, 143.06
amj,Amdang,Threatened ,,Africa,14.624780, 20.944645
aqd,Ampari,Threatened ,5200,Africa,14.257728, -3.90712
law-amp,Ampibabo,Threatened ,6000,Southeast Asia,,
amt,Amto,Endangered ,230,Pacific,-4.052936077, 141.3284454
ame,Amuesha,Threatened ,8000,South America,-10.5,-75.4166666667
1ot,Amur Nivkh,Severely Endangered ,500,Caucasus;Europe;East Asia,53.2684,140.4107
amg,Amurdak,Critically Endangered ,5,Australia,-11.149603,132.576973
anw,Anaang,Vulnerable ,733040,Africa,5.193697,7.933819
akg,Anakalangu,Vulnerable ,25000,Southeast Asia,-9.576376, 119.586182
anm,Anal,Endangered ,,South Asia;Southeast Asia,24.1517,93.9385
pda,Anam,Threatened ,1070,Pacific,-4.811839, 145.008545
aan,Anambé of Cairarí,Dormant ,Ø,South America,,
ajn,Andajin,Critically Endangered ,2,Australia,-17.37660823,126.2592854
aod,Andarum,Endangered ,830,Pacific,-4.49, 144.77
,Ande,Endangered ,500,Pacific,-15.470705,166.936238
ani,Andi,Vulnerable ,10000,Caucasus;Europe;East Asia,42.75,46.25
bzb,Andio,Threatened ,1700,Southeast Asia,-.8514,123.1457
anb,Andoa,Dormant ,Ø,South America,-2.6796,-76.2011
ano,Andoque,Endangered ,597,South America,-0.666666666667,-72.0
,Anejom̃,Endangered ,900,Pacific,-20.176517,169.813967
anz,Anem,Endangered ,843,Pacific,,
myo,Anfillo,Endangered ,,Africa,8.5049,34.7415
aqt,Angaité,Severely Endangered ,780,South America,,
agg,Angor,Threatened ,1250,Pacific,-3.72, 141.20
"aog, myd",Angoram,Threatened ,6514,Pacific,-4.08, 144.03
blo,Anii,Vulnerable ,25000,Africa,9.032,1.657
anf,Animere,Severely Endangered ,30,Africa,7.6129,.4064
aoi,Anindilyakwa,Threatened ,,Australia,-14.05312996,136.6124148
amx,Anmatyerre,Threatened ,501,Australia,-21.98277477,133.4290339
nun,Anong,Critically Endangered ,,Southeast Asia;East Asia,27.100, 98.700
anj,Anor,Endangered ,450,Pacific,-4.98, 144.80
